date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:13	11096/11096	---M-Z	200	added ('OK')	text/html	etag:%222b58-66d20737-9af9b67d7410ed80;gz%22	https://meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dowodnowy.html?__im-sVOezsKA=2362439577057460069	C:/My%20Web%20Sites/piotrusmobywatel/meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dowodnowy7d37.html	(from )
20:17:13	253/253	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2007%20May%202025%2018:17:14%20GMT	https://meganice-royal-39848.x10.mx/robots.txt		(from )
20:17:13	1269/1269	---M-Z	200	added ('OK')	application/javascript	etag:%224f5-66c740fe-da8f4bfe43c76173;gz%22	https://meganice-royal-39848.x10.mx/sw.js	C:/My%20Web%20Sites/piotrusmobywatel/meganice-royal-39848.x10.mx/sw.js	(from https://meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dowodnowy.html?__im-sVOezsKA=2362439577057460069)
20:17:14	16821/16821	---M-Z	200	added ('OK')	text/css	etag:%2241b5-66c74265-fc57913d1a5f43e3;gz%22	https://meganice-royal-39848.x10.mx/dowod_files/main.css	C:/My%20Web%20Sites/piotrusmobywatel/meganice-royal-39848.x10.mx/dowod_files/main.css	(from https://meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dowodnowy.html?__im-sVOezsKA=2362439577057460069)
20:17:14	6663/6663	---M-Z	200	added ('OK')	text/css	etag:%221a07-66c74231-5b9eb7c95947b44a;gz%22	https://meganice-royal-39848.x10.mx/css/dowodnowy.css	C:/My%20Web%20Sites/piotrusmobywatel/meganice-royal-39848.x10.mx/css/dowodnowy.css	(from https://meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dowodnowy.html?__im-sVOezsKA=2362439577057460069)
20:17:14	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:%2215d9d-66c740fe-2b6a5187716c7900;gz%22	https://meganice-royal-39848.x10.mx/jquery-3.6.0.min.js	C:/My%20Web%20Sites/piotrusmobywatel/meganice-royal-39848.x10.mx/jquery-3.6.0.min.js	(from https://meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dowodnowy.html?__im-sVOezsKA=2362439577057460069)
20:17:15	7888/7888	---M-Z	200	added ('OK')	text/html	etag:%221ed0-66d20736-cb462d25398de985;gz%22	https://meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dashboard.html	C:/My%20Web%20Sites/piotrusmobywatel/meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dashboard.html	(from https://meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dowodnowy.html?__im-sVOezsKA=2362439577057460069)
20:17:15	654/654	---M-Z	200	added ('OK')	application/javascript	etag:%2228e-66c74275-847a38cc6c7c4e7;gz%22	https://meganice-royal-39848.x10.mx/dowod_files/timenew.js	C:/My%20Web%20Sites/piotrusmobywatel/meganice-royal-39848.x10.mx/dowod_files/timenew.js	(from https://meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dowodnowy.html?__im-sVOezsKA=2362439577057460069)
20:17:15	16979/16979	---M--	200	added ('OK')	image/png	etag:%224253-66d20749-f3b8bef79ddc9f;;;%22	https://meganice-royal-39848.x10.mx/attachments/1033752714913513604/1276137432194220042/image3.png?ex=66c86f19&is=66c71d99&hm=b7839569d706d24194ff0f23a4b0f65dd08df3f20b4b6195d71ce3a786ea5b7a&	C:/My%20Web%20Sites/piotrusmobywatel/meganice-royal-39848.x10.mx/attachments/1033752714913513604/1276137432194220042/image34de1.png	(from https://meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dowodnowy.html?__im-sVOezsKA=2362439577057460069)
20:17:16	6430/6430	---M--	200	added ('OK')	image/png	etag:%22191e-66c7427e-bef219dc2741860c;;;%22	https://meganice-royal-39848.x10.mx/dowod_files/godlo.png	C:/My%20Web%20Sites/piotrusmobywatel/meganice-royal-39848.x10.mx/dowod_files/godlo.png	(from https://meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dowodnowy.html?__im-sVOezsKA=2362439577057460069)
20:17:16	2634/2634	---M--	200	added ('OK')	image/png	etag:%22a4a-66c74260-39b36d7c337949d;;;%22	https://meganice-royal-39848.x10.mx/dowod_files/checkbo.png	C:/My%20Web%20Sites/piotrusmobywatel/meganice-royal-39848.x10.mx/dowod_files/checkbo.png	(from https://meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dowodnowy.html?__im-sVOezsKA=2362439577057460069)
20:17:16	3172/3172	---M--	200	added ('OK')	image/png	etag:%22c64-66c7427d-91f57ae9f8bb1524;;;%22	https://meganice-royal-39848.x10.mx/dowod_files/card.png	C:/My%20Web%20Sites/piotrusmobywatel/meganice-royal-39848.x10.mx/dowod_files/card.png	(from https://meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dowodnowy.html?__im-sVOezsKA=2362439577057460069)
20:17:16	483005/483005	---M--	200	added ('OK')	image/gif	etag:%2275ebd-66c74286-9e599d86884d3f57;;;%22	https://meganice-royal-39848.x10.mx/dowod_files/flaga.gif	C:/My%20Web%20Sites/piotrusmobywatel/meganice-royal-39848.x10.mx/dowod_files/flaga.gif	(from https://meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dowodnowy.html?__im-sVOezsKA=2362439577057460069)
20:17:16	649/649	---M-Z	200	added ('OK')	application/javascript	etag:%22289-66c74274-f38495a63a6ab235;gz%22	https://meganice-royal-39848.x10.mx/dowod_files/rozwijka.js	C:/My%20Web%20Sites/piotrusmobywatel/meganice-royal-39848.x10.mx/dowod_files/rozwijka.js	(from https://meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dowodnowy.html?__im-sVOezsKA=2362439577057460069)
20:17:17	798/798	---M-Z	200	added ('OK')	application/javascript	etag:%2231e-66c7426f-3e38f48478ba5655;gz%22	https://meganice-royal-39848.x10.mx/dowod_files/wybor.js	C:/My%20Web%20Sites/piotrusmobywatel/meganice-royal-39848.x10.mx/dowod_files/wybor.js	(from https://meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dowodnowy.html?__im-sVOezsKA=2362439577057460069)
20:17:17	704/704	---M-Z	200	added ('OK')	application/javascript	etag:%222c0-66c74259-7779d41e913aa30a;gz%22	https://meganice-royal-39848.x10.mx/dowod_files/scale.js	C:/My%20Web%20Sites/piotrusmobywatel/meganice-royal-39848.x10.mx/dowod_files/scale.js	(from https://meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dowodnowy.html?__im-sVOezsKA=2362439577057460069)
20:17:17	7381/7381	---M-Z	200	added ('OK')	text/css	etag:%221cd5-66c74230-d5441caa62024ee8;gz%22	https://meganice-royal-39848.x10.mx/css/dashboard.css	C:/My%20Web%20Sites/piotrusmobywatel/meganice-royal-39848.x10.mx/css/dashboard.css	(from https://meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dashboard.html)
20:17:17	11096/11096	---M-Z	200	added ('OK')	text/html	etag:%222b58-66d20737-9af9b67d7410ed80;gz%22	https://meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dowodnowy.html	C:/My%20Web%20Sites/piotrusmobywatel/meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dowodnowy.html	(from https://meganice-royal-39848.x10.mx/fObywatel_admin_6ubigUjPx10/dashboard.html)
